pid,item,item_label,item_text,cell,direction,audience,arm_title,condition_arm,condition,agree_nocue,agree_leader_cue,likertAgree,likertAgree_recoded,party7,republican,ideo7,age_survey,gender,race,education,PK_sum,cue_type
4,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_against,against,Republican,Allow religious denial of service (against),Control,Control,6.0,,6.0,6.0,Strong Republican,1,Moderate,42.0,Female,White / Caucasian,High school graduate,1,two_sided
4,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_in_favor,in favor,Republican,Amnesty for illegal immigrants (in favor),Amnesty for illegal immigrants (in favor),Both,,6.0,6.0,2.0,Strong Republican,1,Moderate,42.0,Female,White / Caucasian,High school graduate,1,two_sided
4,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Control,Control,6.0,,6.0,2.0,Strong Republican,1,Moderate,42.0,Female,White / Caucasian,High school graduate,1,two_sided
4,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_in_favor,in favor,Republican,Minimum sentences for drugs (in favor),Control,Control,6.0,,6.0,2.0,Strong Republican,1,Moderate,42.0,Female,White / Caucasian,High school graduate,1,two_sided
4,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_against,against,Republican,Decrease foreign aid (against),Decrease foreign aid (against),Info-only,6.0,,6.0,6.0,Strong Republican,1,Moderate,42.0,Female,White / Caucasian,High school graduate,1,two_sided
5,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Amnesty for illegal immigrants (against),Info-only,7.0,,7.0,7.0,Lean Democrat,0,Strong liberal,28.0,Male,White / Caucasian,Some college,4,two_sided
5,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Require work for Medicaid (in favor),Info-only,1.0,,1.0,7.0,Lean Democrat,0,Strong liberal,28.0,Male,White / Caucasian,Some college,4,two_sided
5,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Control,Cue-only,,1.0,1.0,7.0,Lean Democrat,0,Strong liberal,28.0,Male,White / Caucasian,Some college,4,two_sided
5,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Control,1.0,,1.0,7.0,Lean Democrat,0,Strong liberal,28.0,Male,White / Caucasian,Some college,4,two_sided
5,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_in_favor,in favor,Democrat,Increase tariffs on Chinese imports (in favor),Control,Control,1.0,,1.0,7.0,Lean Democrat,0,Strong liberal,28.0,Male,White / Caucasian,Some college,4,two_sided
6,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_in_favor,in favor,Republican,Subsidized healthcare for immigrants (in favor),Subsidized healthcare for immigrants (in favor),Info-only,1.0,,1.0,7.0,Strong Republican,1,Strong conservative,68.0,Female,White / Caucasian,High school graduate,3,two_sided
6,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_in_favor,in favor,Republican,Amnesty for illegal immigrants (in favor),Control,Control,1.0,,1.0,7.0,Strong Republican,1,Strong conservative,68.0,Female,White / Caucasian,High school graduate,3,two_sided
6,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),Control,Control,1.0,,1.0,1.0,Strong Republican,1,Strong conservative,68.0,Female,White / Caucasian,High school graduate,3,two_sided
6,15,Allow enhanced interrogation,"Allow the military to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists",item15_against,against,Republican,Allow enhanced interrogation (against),Allow enhanced interrogation (against),Info-only,5.0,,5.0,5.0,Strong Republican,1,Strong conservative,68.0,Female,White / Caucasian,High school graduate,3,two_sided
6,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_against,against,Republican,Decrease power of labor unions (against),Decrease power of labor unions (against),Both,,4.0,4.0,4.0,Strong Republican,1,Strong conservative,68.0,Female,White / Caucasian,High school graduate,3,two_sided
7,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_in_favor,in favor,Republican,Require women on boards (in favor),Require women on boards (in favor),Both,,3.0,3.0,5.0,Republican,1,Strong conservative,32.0,Male,White / Caucasian,4-year degree,2,two_sided
7,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),More restrictions at U.S. border (against),Both,,5.0,5.0,5.0,Republican,1,Strong conservative,32.0,Male,White / Caucasian,4-year degree,2,two_sided
7,16,Allow affirmative action,Allow the use of affirmative action programs,item16_in_favor,in favor,Republican,Allow affirmative action (in favor),Control,Cue-only,,3.0,3.0,5.0,Republican,1,Strong conservative,32.0,Male,White / Caucasian,4-year degree,2,two_sided
7,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_against,against,Republican,Increase tariffs on Chinese imports (against),Increase tariffs on Chinese imports (against),Info-only,5.0,,5.0,5.0,Republican,1,Strong conservative,32.0,Male,White / Caucasian,4-year degree,2,two_sided
7,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Control,Control,4.0,,4.0,4.0,Republican,1,Strong conservative,32.0,Male,White / Caucasian,4-year degree,2,two_sided
8,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Info-only,6.0,,6.0,6.0,Democrat,0,Lean liberal,40.0,Male,White / Caucasian,Postgraduate,1,two_sided
8,4,Allow death penalty,Allow the use of the death penalty,item4_in_favor,in favor,Democrat,Allow death penalty (in favor),Control,Control,7.0,,7.0,1.0,Democrat,0,Lean liberal,40.0,Male,White / Caucasian,Postgraduate,1,two_sided
8,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),Control,Cue-only,,6.0,6.0,2.0,Democrat,0,Lean liberal,40.0,Male,White / Caucasian,Postgraduate,1,two_sided
8,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Control,6.0,,6.0,2.0,Democrat,0,Lean liberal,40.0,Male,White / Caucasian,Postgraduate,1,two_sided
8,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Decrease foreign aid (in favor),Both,,6.0,6.0,2.0,Democrat,0,Lean liberal,40.0,Male,White / Caucasian,Postgraduate,1,two_sided
9,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Control,Control,7.0,,7.0,7.0,Strong Democrat,0,Moderate,62.0,Male,White / Caucasian,Postgraduate,3,one_sided
9,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_in_favor,in favor,Democrat,Allow assisted suicide (in favor),Allow assisted suicide (in favor),Both,,5.0,5.0,3.0,Strong Democrat,0,Moderate,62.0,Male,White / Caucasian,Postgraduate,3,one_sided
9,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Control,Control,2.0,,2.0,6.0,Strong Democrat,0,Moderate,62.0,Male,White / Caucasian,Postgraduate,3,one_sided
9,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Decrease foreign aid (in favor),Both,,3.0,3.0,5.0,Strong Democrat,0,Moderate,62.0,Male,White / Caucasian,Postgraduate,3,one_sided
9,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Decrease estate tax (in favor),Both,,7.0,7.0,1.0,Strong Democrat,0,Moderate,62.0,Male,White / Caucasian,Postgraduate,3,one_sided
10,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_in_favor,in favor,Republican,Amnesty for illegal immigrants (in favor),Control,Control,2.0,,2.0,6.0,Republican,1,Conservative,47.0,Female,White / Caucasian,High school graduate,3,two_sided
10,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_in_favor,in favor,Republican,Limit donations to candidates (in favor),Limit donations to candidates (in favor),Both,,2.0,2.0,6.0,Republican,1,Conservative,47.0,Female,White / Caucasian,High school graduate,3,two_sided
10,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),More restrictions at U.S. border (against),Both,,6.0,6.0,6.0,Republican,1,Conservative,47.0,Female,White / Caucasian,High school graduate,3,two_sided
10,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_against,against,Republican,Decrease foreign aid (against),Decrease foreign aid (against),Info-only,4.0,,4.0,4.0,Republican,1,Conservative,47.0,Female,White / Caucasian,High school graduate,3,two_sided
10,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_against,against,Republican,Increase tariffs on Chinese imports (against),Increase tariffs on Chinese imports (against),Both,,5.0,5.0,5.0,Republican,1,Conservative,47.0,Female,White / Caucasian,High school graduate,3,two_sided
11,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Both,,6.0,6.0,6.0,Strong Democrat,0,Moderate,71.0,Female,White / Caucasian,High school graduate,4,two_sided
11,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Control,Cue-only,,6.0,6.0,6.0,Strong Democrat,0,Moderate,71.0,Female,White / Caucasian,High school graduate,4,two_sided
11,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Control,Control,6.0,,6.0,6.0,Strong Democrat,0,Moderate,71.0,Female,White / Caucasian,High school graduate,4,two_sided
11,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Control,Control,5.0,,5.0,5.0,Strong Democrat,0,Moderate,71.0,Female,White / Caucasian,High school graduate,4,two_sided
11,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Decrease estate tax (in favor),Both,,2.0,2.0,6.0,Strong Democrat,0,Moderate,71.0,Female,White / Caucasian,High school graduate,4,two_sided
12,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_against,against,Republican,Allow religious denial of service (against),Control,Control,6.0,,6.0,6.0,Republican,1,Conservative,45.0,Male,White / Caucasian,4-year degree,4,one_sided
12,4,Allow death penalty,Allow the use of the death penalty,item4_against,against,Republican,Allow death penalty (against),Allow death penalty (against),Info-only,4.0,,4.0,4.0,Republican,1,Conservative,45.0,Male,White / Caucasian,4-year degree,4,one_sided
12,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_in_favor,in favor,Republican,Limit donations to candidates (in favor),Limit donations to candidates (in favor),Both,,5.0,5.0,3.0,Republican,1,Conservative,45.0,Male,White / Caucasian,4-year degree,4,one_sided
12,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Ban juvenile solitary confinement (in favor),Both,,5.0,5.0,3.0,Republican,1,Conservative,45.0,Male,White / Caucasian,4-year degree,4,one_sided
12,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_against,against,Republican,Private pensions for public workers (against),Control,Cue-only,,6.0,6.0,6.0,Republican,1,Conservative,45.0,Male,White / Caucasian,4-year degree,4,one_sided
13,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_in_favor,in favor,Republican,Subsidized healthcare for immigrants (in favor),Control,Cue-only,,1.0,1.0,7.0,Republican,1,Liberal,34.0,Female,White / Caucasian,High school graduate,1,two_sided
13,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),Control,Control,1.0,,1.0,1.0,Republican,1,Liberal,34.0,Female,White / Caucasian,High school graduate,1,two_sided
13,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Ban juvenile solitary confinement (in favor),Both,,3.0,3.0,5.0,Republican,1,Liberal,34.0,Female,White / Caucasian,High school graduate,1,two_sided
13,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_against,against,Republican,Privatization of veterans' healthcare (against),Control,Cue-only,,2.0,2.0,2.0,Republican,1,Liberal,34.0,Female,White / Caucasian,High school graduate,1,two_sided
13,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_against,against,Republican,Increase tariffs on Chinese imports (against),Control,Cue-only,,3.0,3.0,3.0,Republican,1,Liberal,34.0,Female,White / Caucasian,High school graduate,1,two_sided
14,3,Abolish electoral college,Abolish the electoral college,item3_against,against,Republican,Abolish electoral college (against),Control,Cue-only,,1.0,1.0,1.0,Strong Republican,1,Strong conservative,60.0,Female,White / Caucasian,High school graduate,1,one_sided
14,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_against,against,Republican,Illegal to burn U.S. flag (against),Control,Cue-only,,7.0,7.0,7.0,Strong Republican,1,Strong conservative,60.0,Female,White / Caucasian,High school graduate,1,one_sided
14,16,Allow affirmative action,Allow the use of affirmative action programs,item16_in_favor,in favor,Republican,Allow affirmative action (in favor),Control,Control,4.0,,4.0,4.0,Strong Republican,1,Strong conservative,60.0,Female,White / Caucasian,High school graduate,1,one_sided
14,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_against,against,Republican,Increase tariffs on Chinese imports (against),Control,Control,7.0,,7.0,7.0,Strong Republican,1,Strong conservative,60.0,Female,White / Caucasian,High school graduate,1,one_sided
14,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Decrease estate tax (against),Both,,3.0,3.0,3.0,Strong Republican,1,Strong conservative,60.0,Female,White / Caucasian,High school graduate,1,one_sided
15,3,Abolish electoral college,Abolish the electoral college,item3_in_favor,in favor,Democrat,Abolish electoral college (in favor),Control,Control,1.0,,1.0,7.0,Strong Democrat,0,Strong conservative,52.0,Female,Black / African American,Some college,2,two_sided
15,4,Allow death penalty,Allow the use of the death penalty,item4_in_favor,in favor,Democrat,Allow death penalty (in favor),Allow death penalty (in favor),Info-only,7.0,,7.0,1.0,Strong Democrat,0,Strong conservative,52.0,Female,Black / African American,Some college,2,two_sided
15,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Control,Cue-only,,7.0,7.0,7.0,Strong Democrat,0,Strong conservative,52.0,Female,Black / African American,Some college,2,two_sided
15,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Increase capital gains tax (against),Both,,1.0,1.0,1.0,Strong Democrat,0,Strong conservative,52.0,Female,Black / African American,Some college,2,two_sided
15,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Decrease power of labor unions (in favor),Info-only,1.0,,1.0,7.0,Strong Democrat,0,Strong conservative,52.0,Female,Black / African American,Some college,2,two_sided
16,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_in_favor,in favor,Democrat,Allow religious denial of service (in favor),Allow religious denial of service (in favor),Info-only,5.0,,5.0,3.0,Strong Democrat,0,Liberal,74.0,Female,White / Caucasian,Some college,2,two_sided
16,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Control,Cue-only,,6.0,6.0,6.0,Strong Democrat,0,Liberal,74.0,Female,White / Caucasian,Some college,2,two_sided
16,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Control,Control,6.0,,6.0,6.0,Strong Democrat,0,Liberal,74.0,Female,White / Caucasian,Some college,2,two_sided
16,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Cue-only,,3.0,3.0,5.0,Strong Democrat,0,Liberal,74.0,Female,White / Caucasian,Some college,2,two_sided
16,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Control,Cue-only,,2.0,2.0,6.0,Strong Democrat,0,Liberal,74.0,Female,White / Caucasian,Some college,2,two_sided
17,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Control,Cue-only,,4.0,4.0,4.0,Strong Democrat,0,Moderate,44.0,Male,White / Caucasian,Postgraduate,1,two_sided
17,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Control,Control,4.0,,4.0,4.0,Strong Democrat,0,Moderate,44.0,Male,White / Caucasian,Postgraduate,1,two_sided
17,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_in_favor,in favor,Democrat,Allow assisted suicide (in favor),Control,Cue-only,,4.0,4.0,4.0,Strong Democrat,0,Moderate,44.0,Male,White / Caucasian,Postgraduate,1,two_sided
17,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Control,4.0,,4.0,4.0,Strong Democrat,0,Moderate,44.0,Male,White / Caucasian,Postgraduate,1,two_sided
17,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_in_favor,in favor,Democrat,Privatization of veterans' healthcare (in favor),Privatization of veterans' healthcare (in favor),Both,,4.0,4.0,4.0,Strong Democrat,0,Moderate,44.0,Male,White / Caucasian,Postgraduate,1,two_sided
18,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Both,,5.0,5.0,5.0,Strong Democrat,0,Conservative,50.0,Female,White / Caucasian,4-year degree,2,one_sided
18,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Control,Control,7.0,,7.0,7.0,Strong Democrat,0,Conservative,50.0,Female,White / Caucasian,4-year degree,2,one_sided
18,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_against,against,Democrat,Minimum sentences for drugs (against),Minimum sentences for drugs (against),Both,,6.0,6.0,6.0,Strong Democrat,0,Conservative,50.0,Female,White / Caucasian,4-year degree,2,one_sided
18,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Control,5.0,,5.0,3.0,Strong Democrat,0,Conservative,50.0,Female,White / Caucasian,4-year degree,2,one_sided
18,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_in_favor,in favor,Democrat,Privatization of veterans' healthcare (in favor),Privatization of veterans' healthcare (in favor),Info-only,5.0,,5.0,3.0,Strong Democrat,0,Conservative,50.0,Female,White / Caucasian,4-year degree,2,one_sided
19,3,Abolish electoral college,Abolish the electoral college,item3_in_favor,in favor,Democrat,Abolish electoral college (in favor),Abolish electoral college (in favor),Both,,5.0,5.0,3.0,Democrat,0,Liberal,43.0,Female,White / Caucasian,4-year degree,2,one_sided
19,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Control,Control,5.0,,5.0,5.0,Democrat,0,Liberal,43.0,Female,White / Caucasian,4-year degree,2,one_sided
19,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Ban juvenile solitary confinement (against),Both,,5.0,5.0,5.0,Democrat,0,Liberal,43.0,Female,White / Caucasian,4-year degree,2,one_sided
19,15,Allow enhanced interrogation,"Allow the military to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists",item15_in_favor,in favor,Democrat,Allow enhanced interrogation (in favor),Control,Cue-only,,5.0,5.0,3.0,Democrat,0,Liberal,43.0,Female,White / Caucasian,4-year degree,2,one_sided
19,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Decrease power of labor unions (in favor),Both,,3.0,3.0,5.0,Democrat,0,Liberal,43.0,Female,White / Caucasian,4-year degree,2,one_sided
20,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_in_favor,in favor,Republican,Subsidized healthcare for immigrants (in favor),Control,Control,2.0,,2.0,6.0,Republican,1,Moderate,51.0,Male,White / Caucasian,Some college,4,one_sided
20,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_against,against,Republican,Allow assisted suicide (against),Allow assisted suicide (against),Info-only,6.0,,6.0,6.0,Republican,1,Moderate,51.0,Male,White / Caucasian,Some college,4,one_sided
20,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_against,against,Republican,Illegal to burn U.S. flag (against),Illegal to burn U.S. flag (against),Both,,7.0,7.0,7.0,Republican,1,Moderate,51.0,Male,White / Caucasian,Some college,4,one_sided
20,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Ban juvenile solitary confinement (in favor),Both,,6.0,6.0,2.0,Republican,1,Moderate,51.0,Male,White / Caucasian,Some college,4,one_sided
20,16,Allow affirmative action,Allow the use of affirmative action programs,item16_in_favor,in favor,Republican,Allow affirmative action (in favor),Allow affirmative action (in favor),Both,,3.0,3.0,5.0,Republican,1,Moderate,51.0,Male,White / Caucasian,Some college,4,one_sided
21,4,Allow death penalty,Allow the use of the death penalty,item4_in_favor,in favor,Democrat,Allow death penalty (in favor),Control,Cue-only,,2.0,2.0,6.0,Democrat,0,Lean conservative,25.0,Female,White / Caucasian,4-year degree,1,two_sided
21,15,Allow enhanced interrogation,"Allow the military to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists",item15_in_favor,in favor,Democrat,Allow enhanced interrogation (in favor),Allow enhanced interrogation (in favor),Info-only,3.0,,3.0,5.0,Democrat,0,Lean conservative,25.0,Female,White / Caucasian,4-year degree,1,two_sided
21,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Decrease foreign aid (in favor),Info-only,5.0,,5.0,3.0,Democrat,0,Lean conservative,25.0,Female,White / Caucasian,4-year degree,1,two_sided
21,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Control,Control,2.0,,2.0,6.0,Democrat,0,Lean conservative,25.0,Female,White / Caucasian,4-year degree,1,two_sided
