condition,outcome,ate
Interview Prof. Sebille,donation_ams,0.7
Interview Prof. Sebille,newsletter_signup,0.4
Extreme weather predictions,trust_multidimensional,3.4
Extreme weather predictions,trust_post,3.2
Extreme weather predictions,distrust_post,-2.3
Extreme weather predictions,funding_perceptions,1.6
Extreme weather predictions,policy_role_mean,2.2
Extreme weather predictions,inst_trust_mean,2.2
Extreme weather predictions,belief_post,1.6
Extreme weather predictions,concern_mean,1.8
Extreme weather predictions,policy_general,1.4
Extreme weather predictions,policy_specific_mean,1.2
Extreme weather predictions,behavior_mean,0.9
Extreme weather predictions,donation_ams,1.2
Extreme weather predictions,newsletter_signup,0.6
